DiseaseCode,DiseaseName,Occurances,SymptomsCode,SymptomsName
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0332601,cushingoid facies^UMLS:C0878661_cushingoid habitus
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0743482,emphysematous change
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0043096,decreased body weight
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0003962,ascites
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0019825,hoarseness
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0205400,thicken
C0006826,malignant neoplasms^UMLS:C1306459_primary malignant neoplasm,354,C0018965,hematuria
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0015967,fever
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0028081,night sweat
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0233308,spontaneous rupture of membranes
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0010200,cough
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0032739,
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0043096,decreased body weight
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0085593,chill
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0011991,diarrhea
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0008033,pleuritic pain
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0376405,patient non compliance
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0231835,tachypnea
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0239134,productive cough
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0026827,muscle hypotonia^UMLS:C0241938_hypotonic
C0001175,acquired immuno-deficiency syndrome^UMLS:C0019682_HIV^UMLS:C0019693_hiv infections,350,C0424000,feeling suicidal
C0007642,cellulitis,341,C0041834,erythema
C0007642,cellulitis,341,C0030193,pain
C0007642,cellulitis,341,C0038999,swelling
C0007642,cellulitis,341,C0332575,redness
C0007642,cellulitis,341,C0015967,fever
C0007642,cellulitis,341,C0549483,abscess bacterial
C0007642,cellulitis,341,C0376405,patient non compliance
C0007642,cellulitis,341,C0020580,hypesthesia
C0007642,cellulitis,341,C0034880,hyperacusis
C0007642,cellulitis,341,C0033774,pruritus
C0007642,cellulitis,341,C0008031,pain chest
C0007642,cellulitis,341,C1384489,scratch marks
C0007642,cellulitis,341,C0085593,chill
C0007642,cellulitis,341,C0234233,sore to touch
C0017168,gastroesophageal reflux disease,325,C0030193,pain
C0017168,gastroesophageal reflux disease,325,C0008031,pain chest
C0017168,gastroesophageal reflux disease,325,C0085624,burning sensation
C0017168,gastroesophageal reflux disease,325,C0020625,hyponatremia
C0017168,gastroesophageal reflux disease,325,C0239233,satiety early
C0017168,gastroesophageal reflux disease,325,C1444773,throbbing sensation quality
C0017168,gastroesophageal reflux disease,325,C0232292,chest tightness
C0017168,gastroesophageal reflux disease,325,C0234215,sensory discomfort
C0017168,gastroesophageal reflux disease,325,C1305739,presence of q wave
C0017168,gastroesophageal reflux disease,325,C0027497,nausea
C0017168,gastroesophageal reflux disease,325,C0858924,general discomfort
C0017168,gastroesophageal reflux disease,325,C0009806,constipation
C0017168,gastroesophageal reflux disease,325,C0030252,palpitation
C0017168,gastroesophageal reflux disease,325,C0000737,pain abdominal
C0017168,gastroesophageal reflux disease,325,C0018834,heartburn
C0017168,gastroesophageal reflux disease,325,C0038990,sweat^UMLS:C0700590_sweating increased
C0017168,gastroesophageal reflux disease,325,C0004093,asthenia
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0015967,fever
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0476273,distress respiratory
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0020649,hypotension
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0231835,tachypnea
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0085593,chill
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0023380,lethargy
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0428977,bradycardia
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0006157,breech presentation
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0010520,cyanosis
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0233308,spontaneous rupture of membranes
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0019080,haemorrhage
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0241526,unresponsiveness
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0034642,rale
C0036690,septicemia^UMLS:C0243026_systemic infection^UMLS:C1090821_sepsis (invertebrate),311,C0277797,apyrexial
C0149871,deep vein thrombosis,310,C0038999,swelling
C0149871,deep vein thrombosis,310,C0030193,pain
C0149871,deep vein thrombosis,310,C0013491,ecchymosis
C0149871,deep vein thrombosis,310,C0392680,shortness of breath
C0149871,deep vein thrombosis,310,C0023222,pain in lower limb
C0149871,deep vein thrombosis,310,C0018800,cardiomegaly
C0149871,deep vein thrombosis,310,C0034642,rale
C0149871,deep vein thrombosis,310,C0041834,erythema
C0149871,deep vein thrombosis,310,C0020649,hypotension
C0149871,deep vein thrombosis,310,C0009024,clonus
C0149871,deep vein thrombosis,310,C0850149,non-productive cough
C0149871,deep vein thrombosis,310,C0332575,redness
C0011175,dehydration,297,C0015967,fever
C0011175,dehydration,297,C0011991,diarrhea
C0011175,dehydration,297,C0042963,vomiting
C0011175,dehydration,297,C0020649,hypotension
C0011175,dehydration,297,C0027497,nausea
C0011175,dehydration,297,C0220870,lightheadedness
C0011175,dehydration,297,C0857256,unwell
C0011175,dehydration,297,C0856054,mental status changes
C0011175,dehydration,297,C0003123,anorexia
C0011175,dehydration,297,C0004093,asthenia
C0011175,dehydration,297,C0234215,sensory discomfort
C0011175,dehydration,297,C0039070,syncope
C0011175,dehydration,297,C0023380,lethargy
C0011175,dehydration,297,C0012833,dizziness
C0011175,dehydration,297,C0039070,syncope^UMLS:C0312422_blackout^UMLS:C0424533_history of - blackout
C0027651,neoplasm,297,C0577559,mass of body structure
C0027651,neoplasm,297,C0221198,lesion
C0027651,neoplasm,297,C0008031,pain chest
C0027651,neoplasm,297,C0018965,hematuria
C0027651,neoplasm,297,C1269955,tumor cell invasion
C0027651,neoplasm,297,C0030193,pain
C0027651,neoplasm,297,C0003126,anosmia
C0027651,neoplasm,297,C0205400,thicken
C0027651,neoplasm,297,C1513183,metastatic lesion
C0027651,neoplasm,297,C0149696,food intolerance
C0027651,neoplasm,297,C0043096,decreased body weight
C0027651,neoplasm,297,C0028081,night sweat
C0027651,neoplasm,297,C0271202,hemianopsia homonymous
C0027651,neoplasm,297,C0239233,satiety early
C0027651,neoplasm,297,C0000737,pain abdominal
C0027651,neoplasm,297,C0018681,headache
C0034065,embolism pulmonary,294,C0392680,shortness of breath
C0034065,embolism pulmonary,294,C0700292,hypoxemia
C0034065,embolism pulmonary,294,C0231835,tachypnea
C0034065,embolism pulmonary,294,C0744727,hematocrit decreased
C0034065,embolism pulmonary,294,C0008031,pain chest
C0034065,embolism pulmonary,294,C0013404,dyspnea
C0034065,embolism pulmonary,294,C0008033,pleuritic pain
C0034065,embolism pulmonary,294,C0151315,neck stiffness
C0034065,embolism pulmonary,294,C0457096,yellow sputum
C0034065,embolism pulmonary,294,C0239134,productive cough
C0034065,embolism pulmonary,294,C0008767,cicatrisation
C0034065,embolism pulmonary,294,C0241526,unresponsiveness
C0034065,embolism pulmonary,294,C0476273,distress respiratory
C0034065,embolism pulmonary,294,C0043144,wheezing
C0034065,embolism pulmonary,294,C0277797,apyrexial
C0034065,embolism pulmonary,294,C0850149,non-productive cough
C0014544,epilepsy,290,C0036572,seizure
C0014544,epilepsy,290,C0347938,hypometabolism
C0014544,epilepsy,290,C0236018,aura
C0014544,epilepsy,290,C0231530,muscle twitch
C0014544,epilepsy,290,C0013144,drowsiness
C0014544,epilepsy,290,C0040822,tremor
C0014544,epilepsy,290,C0241526,unresponsiveness
C0014544,epilepsy,290,C0018991,hemiplegia
C0014544,epilepsy,290,C0027066,myoclonus
C0014544,epilepsy,290,C0232517,gurgle
C0014544,epilepsy,290,C0234450,sleepy
C0014544,epilepsy,290,C0023380,lethargy
C0014544,epilepsy,290,C0558195,wheelchair bound
C0878544,cardiomyopathy,283,C0392680,shortness of breath
C0878544,cardiomyopathy,283,C0085619,orthopnea
C0878544,cardiomyopathy,283,C0086439,hypokinesia
C0878544,cardiomyopathy,283,C0240100,jugular venous distention
C0878544,cardiomyopathy,283,C0030252,palpitation
C0878544,cardiomyopathy,283,C0008031,pain chest
C0878544,cardiomyopathy,283,C0039070,syncope
C0878544,cardiomyopathy,283,C0457096,yellow sputum
C0878544,cardiomyopathy,283,C0034642,rale
C0878544,cardiomyopathy,283,C0013404,dyspnea
C0878544,cardiomyopathy,283,C0231807,dyspnea on exertion
C0878544,cardiomyopathy,283,C0238705,left atrial hypertrophy
C0878544,cardiomyopathy,283,C0015672,fatigue
C0878544,cardiomyopathy,283,C0043094,weight gain
C0878544,cardiomyopathy,283,C0376405,patient non compliance
C0022661,chronic kidney failure,280,C0042963,vomiting
C0022661,chronic kidney failure,280,C0085619,orthopnea
C0022661,chronic kidney failure,280,C0020461,hyperkalemia
C0022661,chronic kidney failure,280,C0028961,oliguria
C0022661,chronic kidney failure,280,C0240100,jugular venous distention
C0022661,chronic kidney failure,280,C0027497,nausea
C0022661,chronic kidney failure,280,C0392680,shortness of breath
C0022661,chronic kidney failure,280,C0856054,mental status changes
C0022661,chronic kidney failure,280,C0011991,diarrhea
C0022661,chronic kidney failure,280,C0004093,asthenia
C0022661,chronic kidney failure,280,C0232292,chest tightness
C0022661,chronic kidney failure,280,C0231218,malaise
C0022661,chronic kidney failure,280,C0085593,chill
C0022661,chronic kidney failure,280,C0034642,rale
C0022661,chronic kidney failure,280,C0015967,fever
C0022661,chronic kidney failure,280,C0008033,pleuritic pain
C0022661,chronic kidney failure,280,C0277797,apyrexial
C0022661,chronic kidney failure,280,C0744492,guaiac positive
C0022661,chronic kidney failure,280,C0038999,swelling
C0022661,chronic kidney failure,280,C0007398,catatonia
C0022661,chronic kidney failure,280,C0241526,unresponsiveness
C0022661,chronic kidney failure,280,C0457096,yellow sputum
C0007097,carcinoma,269,C0577559,mass of body structure
C0007097,carcinoma,269,C0030193,pain
C0007097,carcinoma,269,C0221198,lesion
